Annual_Revenue_USD,Annual_Sales,Founder_Investment_USD,Employee_Count,Years_Active,Revenue_Growth_Rate_%,Profit_Margin_%,revenue_per_employee,sales_per_employee,revenue_per_investment,roi_ratio,investment_intensity,revenue_maturity,is_profitable,sales_to_revenue_ratio,Startup_Name,Sector,Stage,Invest_Decision
-1.0144973228346457,-0.1624207959477653,0.150594084429357,0.2423357664233576,1.3333333333333333,-1.0566376985316157,-3.837694795648338,-1.8194869987407285,-1.126767162860409,-5.291614701150867,-5.822953750108564,-1.5513579154769792,-0.1713982807342807,0,6.471303219710392,Airlift,Energy,Series A,0
0.556500157480315,0.2030485910387617,-0.4309180480752463,0.7094890510948905,-0.6666666666666666,1.195285186295076,2.359306086445163,-0.7885337177730843,-1.1734708420429458,7.9100910876666255,7.721398294172509,-3.545385740893398,0.0498793440190393,1,-1.0222544587536335,Airlift,Energy,Series A,1
-0.6211184251968503,-1.135695253876644,0.8941648594854161,0.2306569343065693,-0.3333333333333333,-0.2023773848766356,0.5621875918847399,-1.4298707838473177,-2.071064179460814,-5.081857591108792,-0.1643155235075131,0.3625326087842249,-0.2914047101292388,1,-2.9889725726449106,Airlift,Energy,Series A,1
0.0960053543307086,-1.2295218099479348,0.0595628503454193,1.2525547445255474,1.3333333333333333,1.1213664968534611,0.6974419288444573,-1.410673310471837,-2.3072211102946425,0.1378417235465257,1.4325139140660352,-3.169267301232121,0.8624438543086553,1,-4.246524543513787,Airlift,Energy,Series A,1
-0.2724403149606299,0.0863397135943811,0.8051524446687577,-0.1547445255474452,0.0,-0.9183897712516234,-2.527491914142898,-0.6411274286371571,-0.3288580639507819,-3.877203915243685,-3.3975367872228075,1.9314551248804588,0.0006060233273678,0,1.118944623319411,Airlift,Energy,Series A,0
-0.1554223622047244,0.5108150603033527,0.6280555958858491,-0.8145985401459854,-1.0,-0.8552592148636501,-0.3422522787415463,2.03140112156007,3.757311353655223,-3.098334742308787,-0.9138771304437884,9.891567791855264,-0.3558321033014087,1,2.123462576010284,Airlift,Energy,Series A,1
0.1472409448818897,-1.3963337821170667,-0.2986623401864104,-0.218978102189781,0.6666666666666666,0.8676455898511641,2.443987062628638,0.0407247555554942,-2.2455595551890952,3.295802989740414,6.624631722240225,-1.5817289522048468,0.5725871895427022,1,-4.772069969371787,Airlift,Energy,Series A,1
-0.5834727559055118,0.4283920047451818,0.8605854729514324,-0.581021897810219,-0.6666666666666666,1.108980121865948,-0.5751249632461038,-0.2432148091683031,1.624770676899543,-4.921470438521887,-1.3237688382022712,6.365236357113533,-0.3746318453368534,1,4.6813166013139895,Airlift,Energy,Series A,1
0.4983061417322835,-0.2419967423949987,1.0228991565975367,0.3240875912408759,-0.3333333333333333,1.0110878034162427,2.8027050867391936,-0.4543356763886702,-1.269692184630315,-2.110305990309872,1.902381165832796,0.3487627999382333,0.2296693530363046,1,-2.008451940619892,Airlift,Energy,Series A,1
-0.8433940157480315,0.2936815644036041,-1.0724201479391988,0.1722627737226277,-1.3333333333333333,0.0245729697332934,0.3116730373419584,-1.6160392443653229,-0.5965337619683896,11.527155511121592,14.17530741604105,-4.597060956338595,-0.6245286783540354,1,6.981640177328551,Airlift,Energy,Series A,1
0.520776062992126,0.1103443081355389,0.7723381814187199,0.1956204379562043,-0.6666666666666666,0.0441514334232346,1.3701852396354013,-0.2634714130330285,-0.8101101359042503,-1.3233615482118724,0.8529565609052112,0.1773275309188341,0.0365761526346045,1,-1.1785698370888755,Airlift,Energy,Series A,1
-1.1982340157480316,-1.1452760019959891,-0.2161673008125209,0.5751824817518248,1.0,0.9551493357306966,-2.869744192884445,-2.077289127380733,-2.161295278276276,-5.435957951602085,-4.920227822768705,-2.973548501993194,-0.3859695073181796,0,-0.1514253973758402,Airlift,Energy,Series A,0
0.4093763779527559,-0.270377449088153,0.1030304566695166,1.5854014598540147,-1.0,-0.2075716711617219,0.55983534254631,-1.365554923631742,-1.8288763634672984,1.324297515107971,1.095421154152359,-3.3569566955779258,-0.1980892862689131,1,-1.937486598052062,Airlift,Energy,Series A,1
-0.6719033070866142,-0.025217252125446,-0.5630907907887146,1.351824817518248,-1.0,0.653880731195685,-0.703322552190532,-1.8862765325689488,-1.6281287960880275,0.2242634437984931,0.3987220609040623,-4.167730018156831,-0.5000802281583411,1,3.127614826631161,Airlift,Energy,Series A,1
